Customer ID,Churn Status
ADF0001,1
ADF0002,1
ADF0003,0
ADF0004,1
ADF0005,1
ADF0006,0
ADF0007,1
ADF0008,1
ADF0009,0
ADF0010,0
ADF0011,1
ADF0012,0
ADF0013,1
ADF0014,1
ADF0015,0
ADF0016,1
ADF0017,1
ADF0018,0
ADF0019,0
ADF0020,0
ADF0021,0
ADF0022,1
ADF0023,0
ADF0024,1
ADF0025,0
ADF0026,0
ADF0027,1
ADF0028,0
ADF0029,1
ADF0030,1
ADF0031,1
ADF0032,1
ADF0033,1
ADF0034,1
ADF0035,1
ADF0036,0
ADF0037,1
ADF0139,1
ADF0140,0
ADF0141,1
ADF0142,0
ADF0143,1
ADF0144,1
ADF0145,0
ADF0146,0
ADF0147,0
ADF0148,0
ADF0149,0
ADF0150,0
ADF0151,1
ADF0152,0
ADF0153,0
ADF0154,0
ADF0155,1
ADF0156,0
ADF0157,1
ADF0158,1
ADF0159,1
ADF0160,1
ADF0161,0
ADF0162,1
ADF0163,0
ADF0164,0
ADF0165,0
ADF0166,1
ADF0167,1
ADF0168,0
ADF0169,1
ADF0170,1
ADF0171,0
ADF0172,1
ADF0173,1
ADF0174,1
ADF0175,0
ADF0176,1
ADF0177,1
ADF0178,1
ADF0179,0
ADF0180,1
ADF0181,1
ADF0182,1
ADF0183,1
ADF0184,0
ADF0185,0
ADF0186,0
ADF0187,0
ADF0188,1
ADF0189,0
ADF0190,1
ADF0191,0
ADF0192,0
ADF0193,0
ADF0194,1
ADF0195,0
ADF0196,0
ADF0197,0
ADF0198,0
ADF0199,0
ADF0200,1
ADF0201,0
ADF0202,0
ADF0203,0
ADF0204,0
ADF0205,0
ADF0206,1
ADF0207,1
ADF0208,1
ADF0209,0
ADF0210,0
ADF0211,0
ADF0212,0
ADF0213,1
ADF0214,0
ADF0215,0
ADF0216,0
ADF0217,0
ADF0218,0
ADF0219,1
ADF0220,0
ADF0221,0
ADF0222,0
ADF0223,0
ADF0224,0
ADF0225,0
ADF0226,0
ADF0227,0
ADF0228,1
ADF0229,0
ADF0230,0
ADF0231,0
ADF0232,1
ADF0233,1
ADF0234,0
ADF0235,0
ADF0236,0
ADF0237,1
ADF0238,1
ADF0239,1
ADF0240,0
ADF0241,0
ADF0242,1
ADF0243,1
ADF0244,1
ADF0245,0
ADF0246,1
ADF0247,0
ADF0248,0
ADF0249,0
ADF0250,1
ADF0251,0
ADF0252,0
ADF0253,1
ADF0562,0
ADF0563,0
ADF0564,1
ADF0565,0
ADF0566,1
ADF0567,1
ADF0568,0
ADF0569,1
ADF0570,0
ADF0571,0
ADF0572,0
ADF0573,0
ADF0574,1
ADF0575,0
ADF0576,0
ADF0577,1
ADF0578,1
